排名,名称,评分,评分人数,导演,主演,国家,类型,经典台词
1,肖申克的救赎,9.7,3225560人,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins,美国,犯罪 剧情,希望让人自由。
2,霸王别姬,9.6,2380865人,陈凯歌 Kaige Chen,张国荣 Leslie Cheung,中国大陆 中国香港,剧情 爱情 同性,风华绝代。
3,泰坦尼克号,9.5,2449968人,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,美国 墨西哥,剧情 爱情 灾难,失去的才是永恒的。
4,阿甘正传,9.5,2391089人,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks,美国,剧情 爱情,一部美国近现代史。
5,千与千寻,9.4,2490627人,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi,日本,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。
6,美丽人生,9.5,1457629人,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,意大利,剧情 喜剧 爱情 战争,最美的谎言。
7,星际穿越,9.4,2129736人,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,美国 英国 加拿大,剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。
8,这个杀手不太冷,9.4,2515416人,吕克·贝松 Luc Besson,让·雷诺 Jean Reno,法国 美国,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。
9,盗梦空间,9.4,2285933人,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,美国 英国,剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,9.4,1974134人,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey,美国,剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,9.5,1228707人,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,美国,剧情 历史 战争,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,9.4,1520582人,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,美国 英国,剧情,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,1850569人,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth,意大利,剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
14,疯狂动物城,9.2,2220413人,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,美国,喜剧 动画 冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
15,三傻大闹宝莱坞,9.2,2044255人,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan,印度,剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。
16,机器人总动员,9.3,1461333人,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt,美国,科幻 动画 冒险,小瓦力，大人生。
17,放牛班的春天,9.3,1449450人,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,法国 瑞士 德国,剧情 音乐,天籁一般的童声，是最接近上帝的存在。
18,无间道,9.3,1535031人,刘伟强 / 麦兆辉,刘德华 Andy Lau,中国香港,剧情 犯罪 惊悚,香港电影史上永不过时的杰作。
19,控方证人,9.6,689091人,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power,美国,剧情 犯罪 悬疑 惊悚,比利·怀德满分作品。
20,大话西游之大圣娶亲,9.2,1683439人,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow,中国香港 中国大陆,喜剧 爱情 奇幻 古装,一生所爱。
21,熔炉,9.3,1021530人,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong,韩国,剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,触不可及,9.3,1270032人,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano 主...,未知,法国,剧情 喜剧,满满温情的高雅喜剧。
23,寻梦环游记,9.1,1934872人,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,美国,喜剧 动画 奇幻 音乐,死亡不是真的逝去，遗忘才是永恒的消亡。
24,教父,9.3,1084838人,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,美国,剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。
25,当幸福来敲门,9.1,1662202人,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,美国,剧情 传记 家庭,平民励志片。
26,末代皇帝,9.3,1008712人,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone,英国 意大利 中国大陆 法国,剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,哈利·波特与魔法石,9.2,1390818人,Chris Columbus,Daniel Radcliffe,美国 英国,奇幻 冒险,童话世界的开端。
28,龙猫,9.2,1389898人,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka,日本,动画 奇幻 冒险,人人心中都有个龙猫，童年就永远不会消失。
29,活着,9.3,952303人,张艺谋 Yimou Zhang,葛优 You Ge,中国大陆 中国香港,剧情 历史 家庭,张艺谋最好的电影。
30,怦然心动,9.1,2018536人,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll,美国,剧情 喜剧 爱情,真正的幸福是来自内心深处。
31,蝙蝠侠：黑暗骑士,9.2,1174153人,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,美国 英国,剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。
32,指环王3：王者无敌,9.3,894355人,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood,美国 新西兰,剧情 动作 奇幻 冒险,史诗的终章。
33,我不是药神,9.0,2317338人,文牧野 Muye Wen,徐峥 Zheng Xu,中国大陆,剧情 喜剧,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,9.3,778125人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,美国,剧情 历史 爱情 战争,Tomorrow is another day.
35,飞屋环游记,9.1,1471891人,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,美国,剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。
36,让子弹飞,9.0,1890179人,姜文 Wen Jiang,姜文 Wen Jiang,中国大陆 中国香港,剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。
37,哈尔的移动城堡,9.1,1262337人,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô,日本,爱情 动画 奇幻 冒险,带着心爱的人在天空飞翔。
38,十二怒汉,9.4,565705人,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda,美国,剧情,1957年的理想主义。
39,素媛,9.3,763951人,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol,韩国,剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
40,海蒂和爷爷,9.3,755944人,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen,德国 瑞士,剧情 冒险 家庭,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
41,猫鼠游戏,9.1,1183427人,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,美国 加拿大,传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。
42,天空之城,9.2,992403人,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka,日本,动画 奇幻 冒险,对天空的追逐，永不停止。
43,鬼子来了,9.3,703120人,姜文 Wen Jiang,姜文 Wen Jiang,中国大陆,剧情 喜剧,对敌人的仁慈，就是对自己残忍。
44,摔跤吧！爸爸,9.0,1719140人,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan,印度,剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
45,少年派的奇幻漂流,9.1,1469707人,李安 Ang Lee,苏拉·沙玛 Suraj Sharma,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。
